Student ID,Block,Trial,ResponseTime(ms),ErrorTimes
3552640,2,0,668,0
3552640,2,1,784,0
3552640,2,2,603,0
3552640,2,3,548,0
3552640,2,4,599,0
3552640,2,5,669,0
3552640,2,6,550,0
3552640,2,6,567,1
3552640,2,7,867,0
3552640,2,8,667,0
3552640,2,9,585,0
3552640,2,10,517,0
3552640,2,11,868,0
3552640,2,12,863,0
3552640,2,13,549,0
3552640,2,13,636,1
3552640,2,14,782,0
3552640,2,15,624,0
3552640,2,16,617,0
3552640,2,17,617,0
3552640,2,18,635,0
3552640,2,19,649,0
3571330,2,0,615,0
3571330,2,1,918,0
3571330,2,2,1016,0
3571330,2,3,733,0
3571330,2,4,818,0
3571330,2,5,799,0
3571330,2,6,1684,0
3571330,2,7,731,0
3571330,2,8,850,0
3571330,2,8,-634,1
3571330,2,9,1133,0
3571330,2,10,699,0
3571330,2,11,870,0
3571330,2,12,601,0
3571330,2,13,666,0
3571330,2,14,664,0
3571330,2,15,784,0
3571330,2,16,731,0
3571330,2,17,766,0
3571330,2,18,802,0
3571330,2,19,766,0
3636895,2,0,1508,0
3636895,2,1,808,0
3636895,2,2,895,0
3636895,2,3,1433,0
3636895,2,4,848,0
3636895,2,5,684,0
3636895,2,6,735,0
3636895,2,7,671,0
3636895,2,8,748,0
3636895,2,9,1299,0
3636895,2,10,686,0
3636895,2,11,802,0
3636895,2,12,616,0
3636895,2,13,835,0
3636895,2,14,618,0
3636895,2,15,691,0
3636895,2,16,1304,0
3636895,2,17,783,0
3636895,2,18,810,0
3636895,2,19,649,0
3644372,2,0,833,0
3644372,2,1,835,0
3644372,2,2,664,0
3644372,2,3,868,0
3644372,2,4,749,0
3644372,2,5,602,0
3644372,2,5,-1349,1
3644372,2,6,666,0
3644372,2,6,-520,1
3644372,2,7,814,0
3644372,2,7,-500,1
3644372,2,7,-500,1
3644372,2,8,1117,0
3644372,2,9,983,0
3644372,2,9,-799,1
3644372,2,10,900,0
3644372,2,10,-2518,1
3644372,2,11,950,0
3644372,2,12,748,0
3644372,2,12,-668,1
3644372,2,13,1401,0
3644372,2,14,934,0
3644372,2,15,934,0
3644372,2,16,835,0
3644372,2,17,763,0
3644372,2,17,-1568,1
3644372,2,18,750,0
3644372,2,19,901,0
3670269,2,0,1075,0
3670269,2,1,1263,0
3670269,2,2,1355,0
3670269,2,3,1334,0
3670269,2,4,1087,0
3670269,2,5,1220,0
3670269,2,6,1001,0
3670269,2,7,1082,0
3670269,2,8,1317,0
3670269,2,9,983,0
3670269,2,10,1118,0
3670269,2,11,1362,0
3670269,2,12,1536,0
3670269,2,13,1401,0
3670269,2,14,1337,0
3670269,2,15,1253,0
3670269,2,16,1468,0
3670269,2,17,1287,0
3670269,2,18,1238,0
3670269,2,19,1220,0
3675086,2,0,1202,0
3675086,2,1,1416,0
3675086,2,2,1185,0
3675086,2,3,1169,0
3675086,2,4,1068,0
3675086,2,5,1253,0
3675086,2,6,1091,0
3675086,2,7,1133,0
3675086,2,7,-1000,1
3675086,2,8,1796,0
3675086,2,9,1215,0
3675086,2,10,879,0
3675086,2,11,1199,0
3675086,2,12,1064,0
3675086,2,13,1681,0
3675086,2,14,1067,0
3675086,2,15,1098,0
3675086,2,16,1397,0
3675086,2,17,1066,0
3675086,2,18,998,0
3675086,2,19,1016,0
3675086,2,19,-1238,1
